Graph,Size,Metric,Property,Value
MaxCut-10-Xoshiro-199377,10,GraphCut,MaxCut,14
MaxCut-10-Xoshiro-439244,10,GraphCut,MaxCut,17
MaxCut-10-Xoshiro-578232,10,GraphCut,MaxCut,18
MaxCut-10-Xoshiro-647856,10,GraphCut,MaxCut,15
MaxCut-10-Xoshiro-682533,10,GraphCut,MaxCut,19
MaxCut-10-Xoshiro-727936,10,GraphCut,MaxCut,15
MaxCut-10-Xoshiro-7449,10,GraphCut,MaxCut,17
MaxCut-10-Xoshiro-749195,10,GraphCut,MaxCut,12
MaxCut-10-Xoshiro-956741,10,GraphCut,MaxCut,18
MaxCut-10-Xoshiro-996666,10,GraphCut,MaxCut,15
MaxCut-100-Xoshiro-138780,100,GraphCut,Heuristic,1439
MaxCut-100-Xoshiro-138780,100,GraphCut,UpperBound,1492
MaxCut-100-Xoshiro-280043,100,GraphCut,Heuristic,1441
MaxCut-100-Xoshiro-280043,100,GraphCut,UpperBound,1490
MaxCut-100-Xoshiro-584181,100,GraphCut,Heuristic,1424
MaxCut-100-Xoshiro-584181,100,GraphCut,UpperBound,1471
MaxCut-15-Xoshiro-110085,15,GraphCut,MaxCut,42
MaxCut-15-Xoshiro-124792,15,GraphCut,MaxCut,38
MaxCut-15-Xoshiro-234105,15,GraphCut,MaxCut,34
MaxCut-15-Xoshiro-253812,15,GraphCut,MaxCut,35
MaxCut-15-Xoshiro-491384,15,GraphCut,MaxCut,36
MaxCut-15-Xoshiro-565146,15,GraphCut,MaxCut,36
MaxCut-15-Xoshiro-609875,15,GraphCut,MaxCut,36
MaxCut-15-Xoshiro-626794,15,GraphCut,MaxCut,38
MaxCut-15-Xoshiro-672793,15,GraphCut,MaxCut,40
MaxCut-15-Xoshiro-761916,15,GraphCut,MaxCut,36
MaxCut-20-Xoshiro-131026,20,GraphCut,MaxCut,65
MaxCut-20-Xoshiro-365854,20,GraphCut,MaxCut,64
MaxCut-20-Xoshiro-571587,20,GraphCut,MaxCut,65
MaxCut-20-Xoshiro-574324,20,GraphCut,MaxCut,65
MaxCut-20-Xoshiro-588873,20,GraphCut,MaxCut,67
MaxCut-20-Xoshiro-677650,20,GraphCut,MaxCut,65
MaxCut-20-Xoshiro-701116,20,GraphCut,MaxCut,69
MaxCut-20-Xoshiro-72717,20,GraphCut,MaxCut,66
MaxCut-20-Xoshiro-946454,20,GraphCut,MaxCut,67
MaxCut-20-Xoshiro-95218,20,GraphCut,MaxCut,62
MaxCut-25-Xoshiro-242195,25,GraphCut,MaxCut,97
MaxCut-25-Xoshiro-269060,25,GraphCut,MaxCut,95
MaxCut-25-Xoshiro-293905,25,GraphCut,MaxCut,94
MaxCut-25-Xoshiro-348996,25,GraphCut,MaxCut,99
MaxCut-25-Xoshiro-539632,25,GraphCut,MaxCut,99
MaxCut-25-Xoshiro-706066,25,GraphCut,MaxCut,102
MaxCut-25-Xoshiro-768309,25,GraphCut,MaxCut,101
MaxCut-25-Xoshiro-845515,25,GraphCut,MaxCut,94
MaxCut-25-Xoshiro-853242,25,GraphCut,MaxCut,96
MaxCut-25-Xoshiro-978070,25,GraphCut,MaxCut,99
MaxCut-30-Xoshiro-189851,30,GraphCut,MaxCut,140
MaxCut-30-Xoshiro-442139,30,GraphCut,MaxCut,132
MaxCut-30-Xoshiro-464849,30,GraphCut,MaxCut,137
MaxCut-30-Xoshiro-500162,30,GraphCut,MaxCut,145
MaxCut-30-Xoshiro-520742,30,GraphCut,MaxCut,146
MaxCut-30-Xoshiro-715846,30,GraphCut,MaxCut,131
MaxCut-30-Xoshiro-810700,30,GraphCut,MaxCut,137
MaxCut-30-Xoshiro-884578,30,GraphCut,MaxCut,137
MaxCut-30-Xoshiro-941832,30,GraphCut,MaxCut,140
MaxCut-30-Xoshiro-977013,30,GraphCut,MaxCut,145
MaxCut-40-Xoshiro-134686,40,GraphCut,MaxCut,240
MaxCut-40-Xoshiro-172236,40,GraphCut,MaxCut,236
MaxCut-40-Xoshiro-2777,40,GraphCut,MaxCut,228
MaxCut-40-Xoshiro-327352,40,GraphCut,MaxCut,240
MaxCut-40-Xoshiro-374142,40,GraphCut,MaxCut,246
MaxCut-40-Xoshiro-376442,40,GraphCut,MaxCut,252
MaxCut-40-Xoshiro-531900,40,GraphCut,MaxCut,247
MaxCut-40-Xoshiro-565865,40,GraphCut,MaxCut,252
MaxCut-40-Xoshiro-632109,40,GraphCut,MaxCut,256
MaxCut-40-Xoshiro-728543,40,GraphCut,MaxCut,245
MaxCut-50-Xoshiro-116770,50,GraphCut,MaxCut,364
MaxCut-50-Xoshiro-26234,50,GraphCut,MaxCut,360
MaxCut-50-Xoshiro-367198,50,GraphCut,MaxCut,391
MaxCut-50-Xoshiro-479863,50,GraphCut,MaxCut,367
MaxCut-50-Xoshiro-501756,50,GraphCut,MaxCut,381
MaxCut-50-Xoshiro-671891,50,GraphCut,MaxCut,381
MaxCut-50-Xoshiro-73171,50,GraphCut,MaxCut,372
MaxCut-50-Xoshiro-881164,50,GraphCut,MaxCut,376
MaxCut-50-Xoshiro-906940,50,GraphCut,MaxCut,365
MaxCut-50-Xoshiro-949969,50,GraphCut,MaxCut,369
MaxCut-60-Xoshiro-193780,60,GraphCut,MaxCut,532
MaxCut-60-Xoshiro-347189,60,GraphCut,MaxCut,514
MaxCut-60-Xoshiro-356715,60,GraphCut,MaxCut,532
MaxCut-60-Xoshiro-471453,60,GraphCut,MaxCut,516
MaxCut-60-Xoshiro-669388,60,GraphCut,MaxCut,546
MaxCut-60-Xoshiro-792832,60,GraphCut,MaxCut,535
MaxCut-60-Xoshiro-819255,60,GraphCut,MaxCut,506
MaxCut-60-Xoshiro-892110,60,GraphCut,MaxCut,527
MaxCut-60-Xoshiro-941781,60,GraphCut,MaxCut,533
MaxCut-60-Xoshiro-967230,60,GraphCut,MaxCut,521
MaxCut-70-Xoshiro-108778,70,GraphCut,MaxCut,754
MaxCut-70-Xoshiro-314519,70,GraphCut,MaxCut,725
MaxCut-70-Xoshiro-400910,70,GraphCut,MaxCut,709
MaxCut-70-Xoshiro-488934,70,GraphCut,MaxCut,696
MaxCut-70-Xoshiro-491581,70,GraphCut,MaxCut,734
MaxCut-70-Xoshiro-498062,70,GraphCut,MaxCut,719
MaxCut-70-Xoshiro-553733,70,GraphCut,Heuristic,726
MaxCut-70-Xoshiro-553733,70,GraphCut,UpperBound,734
MaxCut-70-Xoshiro-728948,70,GraphCut,MaxCut,710
MaxCut-70-Xoshiro-804721,70,GraphCut,MaxCut,716
MaxCut-70-Xoshiro-932783,70,GraphCut,MaxCut,721
MaxCut-80-Xoshiro-186682,80,GraphCut,Heuristic,928
MaxCut-80-Xoshiro-186682,80,GraphCut,UpperBound,931
MaxCut-80-Xoshiro-198099,80,GraphCut,Heuristic,906
MaxCut-80-Xoshiro-198099,80,GraphCut,UpperBound,924
MaxCut-80-Xoshiro-36898,80,GraphCut,Heuristic,949
MaxCut-80-Xoshiro-36898,80,GraphCut,UpperBound,956
MaxCut-80-Xoshiro-412226,80,GraphCut,Heuristic,914
MaxCut-80-Xoshiro-412226,80,GraphCut,UpperBound,918
MaxCut-80-Xoshiro-457800,80,GraphCut,Heuristic,913
MaxCut-80-Xoshiro-457800,80,GraphCut,UpperBound,929
MaxCut-80-Xoshiro-584705,80,GraphCut,Heuristic,956
MaxCut-80-Xoshiro-584705,80,GraphCut,UpperBound,963
MaxCut-80-Xoshiro-693293,80,GraphCut,Heuristic,894
MaxCut-80-Xoshiro-693293,80,GraphCut,UpperBound,916
MaxCut-80-Xoshiro-709159,80,GraphCut,Heuristic,931
MaxCut-80-Xoshiro-709159,80,GraphCut,UpperBound,942
MaxCut-80-Xoshiro-755344,80,GraphCut,Heuristic,948
MaxCut-80-Xoshiro-755344,80,GraphCut,UpperBound,968
MaxCut-80-Xoshiro-760014,80,GraphCut,Heuristic,932
MaxCut-80-Xoshiro-760014,80,GraphCut,UpperBound,952
MaxCut-90-Xoshiro-116793,90,GraphCut,Heuristic,1139
MaxCut-90-Xoshiro-116793,90,GraphCut,UpperBound,1181
MaxCut-90-Xoshiro-147805,90,GraphCut,Heuristic,1150
MaxCut-90-Xoshiro-147805,90,GraphCut,UpperBound,1187
MaxCut-90-Xoshiro-202960,90,GraphCut,Heuristic,1152
MaxCut-90-Xoshiro-202960,90,GraphCut,UpperBound,1187
MaxCut-90-Xoshiro-208830,90,GraphCut,Heuristic,1166
MaxCut-90-Xoshiro-208830,90,GraphCut,UpperBound,1204
MaxCut-90-Xoshiro-279323,90,GraphCut,Heuristic,1140
MaxCut-90-Xoshiro-279323,90,GraphCut,UpperBound,1175
MaxCut-90-Xoshiro-300394,90,GraphCut,Heuristic,1163
MaxCut-90-Xoshiro-300394,90,GraphCut,UpperBound,1200
